name,brand,price,color,description,numberOfPurchases,category,type,imgUrl
"Подушка ортопедическая TRELAX Respecta П05, молочная",TRELAX,7490,белый,"<p>
 RESPECTA П05 с эффектом памяти и ионами серебра — это легендарная ортопедическая подушка с доказанной клинической эффективностью специально разработана при участии врачей травматологов-ортопедов и неврологов. RESPECTA подходит <b>для сна в любом положении</b>, рекомендована преимущественно <b>для сна на спине</b>.
</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/7e0/624_624_1d8f616e6dafd84ca6b85089cc850afe3/2uituy5xvvn0gcep18bp29nyr6oevhaf.jpg
"Подушка ортопедическая TRELAX Respecta for man П05, серая",TRELAX,7490,серый,"<p>
 RESPECTA for men П05 с эффектом памяти, ионами серебра и регулировкой высоты — это ортопедическая подушка с доказанной клинической эффективностью разработана специально для мужчин при участии врачей травматологов-ортопедов и неврологов. RESPECTA for men подходит для сна в любом положении, рекомендована преимущественно для сна на спине.
</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/6b7/624_624_1d8f616e6dafd84ca6b85089cc850afe3/0zi5hji74a09lswdtak7q0ptypk3tgpm.jpg
"Подушка ортопедическая TRELAX Sola for man П30, серая",TRELAX,7490,серый,"<p>
 SOLA for men П30 с эффектом памяти, ионами серебра и регулировкой высоты — это особая ортопедическая подушка с доказанной клинической эффективностью, у которой нет аналогов на российском рынке, разработана специально для мужчин при участии врачей травматологов-ортопедов и неврологов. SOLA for men подходит <b>для сна на боку и на спине</b>, рекомендована <b>преимущественно для сна на боку.</b>
</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/906/80_80_1d8f616e6dafd84ca6b85089cc850afe3/r6ud7qhi77izahg8tw08gzfi31byqhmf.jpg
"Подушка ортопедическая TRELAX Sola П30, молочная",TRELAX,7490,белый,"<p>
 SOLA П30 с эффектом памяти и ионами серебра — это особая ортопедическая подушка с доказанной клинической эффективностью, у которой нет аналогов на российском рынке, изделие специально разработано при участии врачей травматологов-ортопедов и неврологов. SOLA П30 подходит для сна на боку и на спине, рекомендована преимущественно для сна на боку.
</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/b12/624_624_1d8f616e6dafd84ca6b85089cc850afe3/pgltqh9hwkclion865flolii1p5vr53d.jpg
Подушка TEMPUR Symphony,TEMPUR,29790,белый,"<p>
	 Несмотря на традиционную прямоугольную форму, подушка Symphony обладает абсолютно инновационным наполнением&nbsp;—&nbsp;именно это существенно отличает ее от других моделей масс-маркета.
</p><p>
	 В основе подушки — уникальная пена Tempur. Ее&nbsp;прототип использовался для уменьшения нагрузки на позвоночник <b>во время полетов человека в космос</b>!
</p><p>
	 Теперь эта космическая технология доступна и вам: вязкоупругий материал с открытыми ячейками, из которого состоит пена,&nbsp;моментально принимает форму тела и обеспечивает надежную поддержку головы и шеи.&nbsp;
</p><p>
	 Модель Symphony <b>универсальна</b>: она представлена в трех различных вариантах, которые отличаются по высоте валика: низкая (S), средняя (M) и высокая (L). Но какую бы высоту вы ни выбрали, позвоночник всегда будет находиться в анатомически правильном положении.&nbsp;
</p><p>
	 Еще одна особенность подушки Tempur —<b> съемный чехол из охлаждающей трикотажной ткани</b>. Особенный охлаждающий эффект достигается благодаря уникальной нити SmartCool в составе.&nbsp;По ощущениям, такая подушка в 2 раза холоднее, чем модели из полиэстера. Эффект сохраняется даже после нескольких стирок.&nbsp; &nbsp; &nbsp;
</p><p>
	 Ткань верха (белый трикотаж) с голубыми нитями — 99% Полиэстер, 1% Эластан.
</p><p>
 <b>Гарантийный срок</b> - 3 года со дня продажи
</p><p>
</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/d96/624_624_1d8f616e6dafd84ca6b85089cc850afe3/rb8swddtctg9e52r3e66nhlub54uzddd.jpg
"Подушка анатомическая AMBESONNE для ног и коленей, белая",AMBESONNE,1590,белый,"<p>
	 Подушка для ног и коленей треугольной формы с небольшими углублениями для бёдер. Специальная форма анатомической подушки поможет снять усталость в ногах после трудового дня или интенсивных занятий спортом.
</p>",0,Ортопедические подушки,анатомическая,https://cdn.orteka.ru//upload/resize_cache/iblock/5d7/624_624_1d8f616e6dafd84ca6b85089cc850afe3/jr3pvee44jqoyxzg8mhrwme1xexooebe.jpg
"Подушка анатомическая AMBESONNE Классика, белая",AMBESONNE,2990,белый,"<p>
	 Анатомическая подушка <b>Ambesonne</b> сочетает в себе классическую форму и все преимущества анатомических моделей. Изделие произведено по уникальной технологии с использованием Memory Foam, пены с эффектом памяти.
</p>",0,Ортопедические подушки,анатомическая,https://cdn.orteka.ru//upload/resize_cache/iblock/8c7/624_624_1d8f616e6dafd84ca6b85089cc850afe3/alwvjn34en9tns455t7m5758xh525zp1.jpg
Подушка ортопедическая TRELAX RESPECTA TEENS П05,TRELAX,7990,белый,"<p>
 <b>RESPECTA TEENS П05</b> <b>с эффектом памяти, ионами серебра и регулировкой</b> <b>высоты</b> — это ортопедическая подушка с доказанной клинической эффективностью разработана специально для подростков от 8 до 16 лет при участии врачей травматологов-ортопедов и неврологов, подходит <b>для сна в любом</b> <b>положении</b>. RESPECTA TEENS особенно рекомендована в период экстенсивного роста подростка. Данная модель обеспечит качественное восстановление организма во время сна, что будет способствовать повышению работоспособности, улучшению памяти и гармоничному развитию позвоночника.
</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/965/624_624_1d8f616e6dafd84ca6b85089cc850afe3/m3ll81p70zd9cjd1o4559t1oflqt15cx.jpg
Подушка ортопедическая TRELAX SUPPORT П18,TRELAX,4490,серый,"<p>
 <b>НОВИНКА!</b> Ортопедическая подушка для сиденья - TRELAX SUPPORT с ионами серебра.<br>
</p>",0,Ортопедические подушки,ортопедическая,https://cdn.orteka.ru//upload/resize_cache/iblock/247/624_624_1d8f616e6dafd84ca6b85089cc850afe3/1cyjuzeyudwe0py9snhyhbu9hf6625hi.jpg
Подушка эргономичная SOMIA SOMIA Original,SOMIA,13390,белый,"<p>
 <b>Подушка Somia Original</b> – это уникальная подушка-трансформер, состоящая из 4-х слоёв пены разной плотности. Вы можете самостоятельно убирать и добавлять слои, менять их местами и настраивать вашу Somia на яркие сны и комфорт в любой позе. Одна подушка – это сразу 10 вариантов по высоте и мягкости, чтобы абсолютно каждый нашёл свою идеальную комбинацию!
</p><p>
	 Получайте комфорт и удовольствие от сна каждую ночь с подушкой Somia Original!
</p>",0,Ортопедические подушки,эргономичная,https://cdn.orteka.ru//upload/resize_cache/iblock/ca5/624_624_1d8f616e6dafd84ca6b85089cc850afe3/ca55eed6f0e1dfa7bfc1fa2c77a72dc6.jpeg
